treaty,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Anti-Personnel Mine Ban Convention,3,4,5,7,11,14,23,30,34,45,49,57,58,64,67,71,79,81,82,84,84,86,89,89
Kinshasa Convention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
South Pacific Nuclear Free Zone Treaty,0,1,2,2,2,3,3,3,3,4,4,4,4,4,6,7,8,8,8,8,9,9,9,9
Treaty on Conventional Armed Forces in Europe (CFE),0,0,0,0,0,0,0,0,0,0,0,4,8,11,13,13,14,16,17,23,24,25,26,28
Chemical Weapons Convention,2,2,3,3,3,4,4,4,4,4,4,4,4,4,5,7,8,8,12,14,16,16,18,20
Moon Treaty (Celestial Bodies),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3
Outer Space Treaty,0,0,2,2,3,5,5,5,17,20,21,21,25,26,30,30,33,35,36,38,39,43,44,45
Inter-American Convention on Transparency,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Bangkok Treaty,0,0,0,0,0,0,0,2,2,3,3,5,5,5,5,9,9,9,9,9,9,9,9,9
Pelindaba Treaty,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6
Antarctic Treaty,0,0,0,0,0,1,2,3,6,7,8,9,9,9,9,9,9,9,13,13,13,13,13,13
Treaty on the Prohibition of Nuclear Weapons,3,3,3,4,5,5,7,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
International Convention for the Suppression of Acts of Nuclear Terrorism,0,0,0,0,0,0,2,2,2,3,5,6,8,9,11,11,13,16,19,20,22,23,25,25
Treaty on the Non-Proliferation of Nuclear Weapons (NPT),1,1,2,2,3,3,7,9,10,12,14,16,17,17,20,21,21,22,24,36,46,47,50,52
Convention on Certain Conventional Weapons,0,0,0,0,0,0,0,0,0,0,1,3,4,7,12,12,13,13,14,14,15,15,15,16
Partial Test Ban Treaty,0,0,10,16,24,34,36,39,43,47,50,55,55,58,58,64,69,73,77,78,80,83,85,86
1925 Geneva Protocol,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Convention on Cluster Munitions,4,4,4,6,6,8,10,14,17,21,24,24,26,27,30,30,31,36,37,38,39,42,45,48
Convention on Environmental Modification Techniques (ENMOD),0,0,1,1,1,1,1,1,1,1,3,9,15,16,17,17,19,19,20,20,21,21,21,21
Biological Weapons Convention,0,1,2,5,6,7,8,8,10,11,16,17,17,19,20,22,24,25,26,26,27,28,28,30
Arms Trade Treaty,1,2,4,7,8,9,9,9,11,31,31,40,41,41,45,53,54,54,61,62,63,65,67,69
Treaty on a Nuclear-Weapon-Free Zone in Central Asia (CANWFZ),0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Treaty on Open Skies,0,0,0,1,1,1,1,1,3,4,4,4,4,4,4,5,7,8,8,9,11,11,12,12
Inter-American Convention on Firearms,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,4,5,6,7,7,7,9,10
Comprehensive Nuclear-Test-Ban Treaty,1,1,1,1,1,2,2,2,3,4,6,7,7,8,8,8,9,11,13,13,14,16,19,21
Sea-Bed Treaty,0,0,4,5,10,13,18,20,22,24,24,26,27,27,28,33,36,38,38,40,42,43,43,45
Treaty of Tlatelolco,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,4,5,6,7,7,7,8
